fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,11,GUJARAT,1101,JAMNAGAR,365376,240.013543817486,40,15,138.091882,466,77,2140,236344,40249,5135,2171,207,48.63045,753.979942,5788,9594,20656,37544,45,46681,87643,2606,567.25761,100332,46,13.1,46.82,99.98,NA
2024-2025,Aug,11,GUJARAT,1107,KACHCHH,629571,212.399459272178,33,9,26.827667045,608,256,2959,215025,13802,4613,576,165,151.08504,634.624644345,6472,8654,37956,63863,10,86116,137643,3567,456.7119373,104407,77,16.19,62.85,99.74,NA
2024-2025,Aug,11,GUJARAT,1109,SABAR KANTHA,1053497,238.390558273402,33,109,418.3605064,2090,7,6523,829701,140860,24521,282277,56883,138.25644,2534.5457923,24642,35246,67763,144422,69,158063,316812,8613,1977.9288459,455214,79,8.44,73.09,99.16,NA
2024-2025,Aug,11,GUJARAT,1111,GANDHINAGAR,177424,241.421202014443,25,5,31.709776805,265,13,1587,84192,2363,591,96,12,69.25811,304.225225205,3260,3856,13807,19199,8,36126,48943,1852,203.2573384,35031,50,69.47,6.27,101.46,NA
2024-2025,Aug,11,GUJARAT,1112,AHMADABAD,307691,208.106443699581,52,57,53.586397756,455,116,2784,305202,9665,3107,6326,670,76.63217,765.363596055997,5764,10030,16777,32883,12,79239,157893,3239,635.145028299997,129296,72,10.61,61.43,99.67,NA
2024-2025,Aug,11,GUJARAT,1119,DANG,611275,288.850887944653,34,102,81.2543126,1442,3,6565,513996,1027,92,497843,57267,101.45833,1667.3946526,14965,22185,32225,58768,22,47629,85880,8007,1484.68201,237516,80,64.25,24.15,99.99,NA
2024-2025,Aug,11,GUJARAT,1131,GIR SOMNATH,278957,245.063262084178,30,32,68.926678162,725,45,1636,178622,27403,6025,2917,773,84.37448,591.038058162,5792,11229,23212,55704,15,48270,110638,2361,437.7369,97610,67,7.92,47.26,99.89,NA
2024-2025,Aug,11,GUJARAT,1132,DEVBHUMI DWARKA,151644,229.219436033308,28,19,14.4178536,537,63,2847,55482,4718,2861,1648,641,30.79239,172.3857711,1918,2777,14448,27357,0,48038,96881,3384,127.1755275,22087,78,39.24,26.89,99.83,NA
2024-2025,Nov,11,GUJARAT,1101,JAMNAGAR,445918,244.737555179698,43,21,305.3095336,1157,52,1694,284978,45940,5143,2378,202,80.34206,1083.0997836,6601,10700,20821,37709,58,46823,87706,2851,697.44819,113971,48,15.08,37.54,99.99,NA
2024-2025,Nov,11,GUJARAT,1105,AMRELI,472394,241.504234358045,45,56,129.822306534,2089,39,2555,404569,71397,11949,1800,244,94.33035,1201.203922434,8850,19319,23305,65997,218,113671,296740,4644,977.0512659,197919,57,8.25,73.47,99.97,NA
2024-2025,Nov,11,GUJARAT,1111,GANDHINAGAR,274969,249.163112034908,34,6,269.050319105,872,2,1480,169590,3991,595,96,12,103.1242,794.730240805,4899,5769,14157,19623,61,35559,48474,2352,422.5557217,68326,52,57.98,13.58,101.41,NA
2024-2025,Nov,11,GUJARAT,1116,BHARUCH,380131,246.156773624273,30,23,1806.27488714101,3517,21,4400,217594,6968,1809,154275,38183,124.297,2466.19425714101,7142,9629,23802,49632,36,122804,246221,7917,535.62237,99646,61,9.04,2.85,99.98,NA
2024-2025,Nov,11,GUJARAT,1123,DOHAD,8249441,261.847089703172,50,3855,13126.126856184,77011,72,63023,7185621,58784,6091,4669249,440618,496.36634,32437.832661784,142779,186818,317944,656301,3289,583063,1243580,140034,18815.3394656,3298703,56,72.05,15.19,99.6,NA
2024-2025,Nov,11,GUJARAT,1125,NAVSARI  ,894699,246.465848039085,25,70,410.8447469,8653,2,6412,788637,6097,853,576658,74820,162.07621,2516.6418269,31336,35026,66550,103118,47,138061,204354,15065,1943.72087,503426,83,41.23,6.62,100,NA
2024-2025,Nov,11,GUJARAT,1127,Morbi,145905,201.94651726121,40,1,118.169695976,874,26,756,114766,11535,1187,267,17,50.95872,400.894355976,2822,4418,6230,12202,62,30942,65696,1630,231.76594,51416,56,50.91,7.53,100,NA
